"
											万科金色领域
										",4室1厅,122.57㎡,中层（共24层）,东向,2015年建,万家湾-光华南三路88号,320,26107元/㎡
"
											保利香槟光华
										",3室1厅,88.22㎡,高层（共21层）,南向,2015年建,万家湾-光华东五路255号,230,26071元/㎡
"
											光华碧邻
										",2室1厅,73.31㎡,高层（共20层）,东南向,2014年建,万家湾-光华西二路126号,138,18824元/㎡
"
											印象金沙
										",2室2厅,89.35㎡,中层（共11层）,东南向,2007年建,内金沙-印象金沙金阳路390号,155,17347元/㎡
"
											保利香槟光华
										",3室2厅,88㎡,低层（共18层）,东向,2015年建,万家湾-光华东五路255号,220,250元/㎡
"
											光华逸家
										",4室2厅,128.5㎡,中层（共22层）,南向,2014年建,万家湾-青羊区光华东三路401号,370,28793元/㎡
,,,,,,,,
"
											万科金色领域
										",3室1厅,92.99㎡,中层（共24层）,南向,2015年建,万家湾-光华南三路88号,220,23658元/㎡
"
											尊城国际
										",1室1厅,72.78㎡,高层（共36层）,西北向,2012年建,天府广场-金河路59号(宽窄巷子对面),249,3412元/㎡
"
											万科金色领域
										",3室1厅,88.47㎡,低层（共24层）,东向,2015年建,万家湾-光华南三路88号,200,22606元/㎡
"
											双玺
										",2室1厅,79.74㎡,低层（共18层）,南向,2014年建,贝森-贝森路216号,163,20441元/㎡
"
											飞大美誉大厦
										",1室1厅,41㎡,中层（共29层）,西向,2018年建,天府广场-人民中路三段1号,59.8,14585元/㎡
"
											凯德风尚
										",3室2厅,124㎡,低层（共19层）,南北向,2012年建,万家湾-苏坡中路8号,285,22983元/㎡
"
											时代尊城
										",3室1厅,132.16㎡,中层（共18层）,南向,2007年建,内光华-时代尊城东坡路399号,334,25272元/㎡
"
											优品道一期
										",3室2厅,120.9㎡,高层（共21层）,东南向,2007年建,贝森-优品道一期青羊大道99号,320,26468元/㎡
"
											金沙云庭
										",3室2厅,116.83㎡,高层（共13层）,南向,2012年建,内金沙-金沙云庭金阳路152号,390,33381元/㎡
"
											金沙鹭岛三期
										",4室2厅,148㎡,高层（共26层）,东北向,2014年建,内金沙-金沙鹭岛三期蜀辉路201号,405,27364元/㎡
"
											花样年华乐摩筑
										",1室1厅,49.86㎡,高层（共26层）,南向,2010年建,贝森-苏坡西路39号,88,17649元/㎡
"
											蓝光凯丽美域
										",2室1厅,70.1㎡,低层（共31层）,西南向,2010年建,内金沙-蓝光凯丽美域金祥路55号,187,26676元/㎡
"
											十二桥路14号院
										",2室1厅,48.32㎡,中层（共6层）,南向,1992年建,天府广场-十二桥路14号,95,19660元/㎡
"
											奎星楼街14号院
										",2室1厅,64.58㎡,高层（共7层）,东南向,2015年建,长顺街-奎星楼街14号,110,17033元/㎡
"
											印象金沙
										",2室2厅,89㎡,高层（共11层）,东南向,2006年建,内金沙-印象金沙金阳路390号,150,16853元/㎡
"
											中铁西城
										",2室1厅,80.14㎡,低层（共18层）,东向,2014年建,万家湾-光华大道一段398号,178,2211元/㎡
"
											融创观玺台
										",3室2厅,124.66㎡,低层（共20层）,南向,2022年建,内光华-西货站路207号(青羊万达旁),315,25268元/㎡
"
											长城园
										",2室1厅,54㎡,高层（共22层）,南北向,2005年建,天府广场-长城园小南街69号,115,21296元/㎡
"
											蓝光COCO金沙一期
										",2室1厅,49.64㎡,低层（共22层）,东北向,2014年建,外金沙-青羊区清涟路27号,102.3,20608元/㎡
"
											中鹏花园C区
										",3室2厅,110㎡,高层（共6层）,南向,1998年建,外光华-苏坡中路48号,125,11363元/㎡
"
											揽胜金沙
										",1室1厅,52.31㎡,低层（共35层）,西北向,2012年建,内金沙-清江西路90号,118,22557元/㎡
"
											壹号公馆
										",1室1厅,42㎡,高层（共26层）,南北向,2008年建,八宝街-人民中路三段1号,55,13095元/㎡
"
											揽胜金沙
										",2室1厅,58.78㎡,低层（共35层）,东向,2000年建,内金沙-清江西路90号,150,25518元/㎡
"
											中铁瑞景颐城
										",3室2厅,78㎡,低层（共21层）,东向,2013年建,万家湾-培风村10组成飞大道383号,180,23076元/㎡
"
											光华美邻
										",3室2厅,103.27㎡,高层（共18层）,东北向,2007年建,内光华-瑞星路89号,275,26629元/㎡
"
											国信广场
										",1室1厅,31㎡,高层（共23层）,南向,2000年建,八宝街-东城根下街28号,43,13870元/㎡
"
											汇厦少城
										",3室1厅,100.7㎡,中层（共39层）,西南向,2014年建,天府广场-文庙西街,365,36246元/㎡
"
											凯德风尚
										",2室1厅,80.51㎡,高层（共19层）,西南向,2012年建,万家湾-苏坡中路8号,175,21736元/㎡
"
											浪琴湾
										",2室2厅,90.48㎡,中层（共6层）,南向,2004年建,内光华-瑞南街33号,195,21551元/㎡
"
											金沙商业中心
										",2室1厅,38㎡,高层（共23层）,南北向,2010年建,浣花小区-青羊大道213号,49,12894元/㎡
"
											富临清江雅居
										",2室2厅,84.41㎡,高层（共15层）,南向,2009年建,杜甫草堂-清江东路122号,154,18244元/㎡
"
											中铁瑞景颐城
										",3室2厅,84.41㎡,高层（共21层）,北向,2013年建,万家湾-培风村10组成飞大道383号,180,21324元/㎡
"
											凯德风尚
										",2室1厅,79.28㎡,高层（共19层）,南向,2012年建,万家湾-苏坡中路8号,168,21190元/㎡
"
											凯德风尚
										",2室2厅,89㎡,低层（共19层）,东南向,2012年建,万家湾-苏坡中路8号,200,22471元/㎡
"
											中铁西城
										",3室1厅,90.3㎡,高层（共18层）,西向,2014年建,万家湾-光华大道一段398号,229,2539元/㎡
"
											战旗东路6号院
										",2室1厅,60.63㎡,高层（共7层）,西北向,2001年建,府南新区-战旗东路6号,73.7,12155元/㎡
"
											元益花园
										",3室2厅,86.31㎡,低层（共21层）,东向,2014年建,外光华-光华大道一段866号,139.9,16209元/㎡
"
											光华美邻
										",4室2厅,134.36㎡,低层（共11层）,南向,2015年建,内光华-瑞星路89号,330,24560元/㎡
"
											蓝光凯丽美域
										",3室1厅,121㎡,高层（共31层）,东向,2010年建,内金沙-金祥路55号,320,26446元/㎡
"
											金沙西园二期
										",3室2厅,101㎡,中层（共6层）,东南向,2006年建,内金沙-金阳路121号,256,25346元/㎡
"
											荣盛花语城
										",3室1厅,73.82㎡,高层（共20层）,东西向,2014年建,外光华-青羊区光华东一路75号,155,20997元/㎡
"
											元益花园
										",2室1厅,84.48㎡,中层（共21层）,东向,2014年建,外光华-光华大道一段866号,127.5,15092元/㎡
"
											公元西
										",2室2厅,84.84㎡,中层（共32层）,东向,2012年建,内金沙-金沙遗址路68号,195,22984元/㎡
"
											蓝光SOFA社区
										",4室1厅,95.15㎡,中层（共20层）,东向,2011年建,万家湾-成飞大道南段238号,230,24172元/㎡
"
											元益花园
										",3室2厅,79㎡,中层（共21层）,东北向,2014年建,外光华-光华大道一段866号,146,18481元/㎡
"
											青羊东二路125号院
										",2室1厅,57.78㎡,高层（共6层）,东向,2014年建,天府广场-青羊东二路125号,70,12114元/㎡
"
											东立光华杏林
										",2室2厅,81.37㎡,低层（共21层）,东北向,2010年建,万家湾-同辉南路256号,128,15730元/㎡
"
											元益花园
										",2室2厅,87.66㎡,低层（共21层）,西向,2014年建,外光华-光华大道一段866号,143,16313元/㎡
"
											光华碧邻
										",2室1厅,78.41㎡,中层（共20层）,东向,2015年建,万家湾-光华西二路126号,135,17217元/㎡
"
											二十一世纪花园一期
										",2室1厅,88.68㎡,高层（共7层）,北向,2003年建,贝森-苏坡东路27号,131,14772元/㎡
"
											时代印象
										",1室1厅,64.01㎡,中层（共14层）,东南向,2005年建,草市街-北东街1号(正成财富领地对面),82,12810元/㎡
"
											龙湖翠微清波A区
										",2室1厅,89.08㎡,低层（共18层）,东向,2008年建,外金沙-金福路419号,185,20767元/㎡
"
											冠城花园二期
										",5室2厅,171.4㎡,低层（共19层）,南向,2020年建,天府广场-小南街123号,360,21003元/㎡
"
											中房金沙海棠
										",2室2厅,90.05㎡,高层（共20层）,西北向,2012年建,外金沙-蜀鑫东路88号,168,18656元/㎡
"
											二十一世纪花园一期
										",2室1厅,84.83㎡,中层（共8层）,南向,2003年建,贝森-苏坡东路27号,142.9,16845元/㎡
"
											祥域
										",2室2厅,84.46㎡,中层（共26层）,东南向,2009年建,内金沙-金凤路1号(金沙车站附近),203.5,24094元/㎡
"
											香木林新城
										",2室2厅,76.4㎡,中层（共11层）,北向,2005年建,内光华-瑞联路171号,188,24607元/㎡
"
											海亮爱金沙
										",2室1厅,59.29㎡,高层（共23层）,东南向,2016年建,外金沙-蜀鑫路与公园路交汇处(华润·金悦湾旁),120,20239元/㎡
